stage,Alanine and aspartate metabolism,Arginine and Proline Metabolism,Citric acid cycle,Eicosanoid metabolism,Fatty acid oxidation,"Glycine, serine, alanine and threonine metabolism",Lysine metabolism,Methionine and cysteine metabolism,Nucleotide interconversion,Pentose phosphate pathway,Tryptophan metabolism,Urea cycle,"Valine, leucine, and isoleucine metabolism"
h,0.6674035983603391,0.9442132447636151,0.9364199333167785,0.9314025583948056,0.9999264019790624,0.7932771204655044,0.08404304114387644,0.935665635231403,0.6272193173941558,0.9774499809246643,0.5733297511956755,0.09144589351664087,0.47639250383538934
h,0.6753346510144,0.9960214334978637,0.9364199333167785,0.8540183448523471,0.8380722801607741,0.5472707522540354,0.48185019057913914,0.8837613872422541,0.18471466474970083,0.9348738685368343,0.41701563163821875,0.18080423753416078,0.5718817429494163
h,0.8827418019897467,0.694566521545425,0.8506381032078947,0.9314025583948056,0.7541338319150018,0.0,0.21102946289658556,0.7766877251600995,0.3910290181852695,0.9348738685368343,0.5078799231720907,0.20807266579462394,0.5170833560345265
h,0.6923218915407029,0.9852650614685388,0.8953974316250135,0.8973903181653164,0.5198745992425469,0.6717030251624729,0.29645819814299423,0.8507962548254865,0.39365853970542347,0.8015244586886653,0.5430522523551138,0.1272952995448554,0.5416051172874585
h,0.7911660701991918,0.5137346998012253,0.17478664664167834,1.0,1.0,0.23761722019879797,0.19157546167085981,0.5332722776863433,0.15779126798941856,0.9090510433066096,0.3105060874942777,0.16987175409241842,0.6822663280634766
h,0.6975810064876151,0.9912072153021708,0.8058707440842682,1.0,0.9771278872373848,0.6414487927641808,0.21532401973270682,0.9639687018952364,0.3910290181852695,0.9201861132586934,0.6429154032150487,0.11779663648957138,0.4627127818518476
h,0.8957607151811788,0.5704163398812382,0.3765924444667104,1.0,1.0,0.40739596777983067,0.18009054208166003,0.6842463710843534,0.3500794579959215,0.9121684100434636,0.3853010068185074,0.11479770127202299,0.6340874658891812
h,0.6850774054770625,0.7088389793144063,0.8339262746435916,0.9802941674706038,0.9858253126461005,0.5472271186459263,0.23347439613666152,0.7630299096528352,0.3910290181852695,0.9581730809013385,0.4646445177606039,0.10160787812150493,0.5650661860655339
h,0.8400454966849183,1.0,1.0,1.0,0.8662884314878068,0.5472271186459263,0.3368589420424572,0.9498684142937555,0.4411419037230918,0.9508835804039574,0.5927016340709556,0.10798208205263021,0.5587684270371428
h,0.6441433231177942,1.0,0.9381278185334636,0.841541372371697,0.9303972762132813,0.513248706749468,0.3544660020319578,0.9494573468447081,0.1528716679647493,0.9508835804039574,0.4935770535653226,0.16385932202858042,0.4884050936186127
h,0.4348492125265464,0.49349463377044983,0.3650904087853414,1.0,0.8237535076856626,0.343357601916229,0.15069394366340239,0.4654977822926769,0.44547694094928125,0.9090867425994205,0.28136652851480504,0.24790072794624174,0.7170561171819155
h,0.7154645470360175,1.0,0.9500234341737687,0.8308577989152612,0.788976202645339,0.6047585537864724,0.34442240061360174,0.9846526547588774,0.09128773709198891,1.0,0.5804255490003354,0.10358946565019266,0.5566607818823267
h,0.7006471401877571,0.8697564162778844,0.9384607404206592,0.9693054218551087,0.9259157041149577,0.8026677400821531,0.1166168185248965,1.0,0.4243594748934127,0.42438850905598124,0.5443783313981032,0.040352433900133114,0.5509387113381582
h,0.6821081414762019,1.0,0.9983444549311844,1.0,0.9129433144159702,0.5275343751438663,0.29810723618647866,0.8158448526789986,0.36287379535963915,1.0,0.45951743485686064,0.10262323183132074,0.5057727658717273
h,0.6905411847798523,1.0,0.9099803101752136,0.7136492806649921,0.8865028529281701,0.5472271186459263,0.29645819814299423,1.0,0.3752060511763738,0.7979823654853533,0.5430522523551138,0.11378410574720728,0.5718509740489773
h,0.6108281327154439,0.8517319825863585,0.8980538925804241,0.8861682430090766,0.6838479513902465,0.6354508883014035,0.3638900654489449,0.8698319744905053,0.5190704652548171,0.9304556413194043,0.6282519201902879,0.04469722684234697,0.5030917488240745
h,0.7727051391227919,0.9030605549957101,0.978006780291572,1.0,0.9516492878387803,0.6313955581655826,0.38734269695402307,0.978891050842003,0.39281305214468776,1.0,0.6469289924144568,0.06363250426250094,0.5704257825103163
